t0_command_sent,t1_movement_start,t2_goal_reached,current_time,x,y,yaw,V0_linear,V0_angular,Vdesired_linear,Vdesired_angular,current_linear,current_angular
1747997332.414,1747997332.452,1747997332.709,1747997335.018,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.039,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.062,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.083,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.109,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.131,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.152,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.173,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.199,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.221,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.243,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.263,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.284,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.309,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.331,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.352,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.373,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.394,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.417,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.439,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.460,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.482,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.503,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.526,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.548,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.568,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.590,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.611,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.632,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.653,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.680,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.700,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.726,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.750,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.771,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.796,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.817,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.839,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.860,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
1747997332.414,1747997332.452,1747997332.709,1747997335.881,0.580,0.000,-0.000,0.000,-0.000,1.200,0.000,0.000,-0.000
