time_stamp,robot_x,robot_y,robot_yaw,selected_goal_x,selected_goal_y,final_goal_x,final_goal_y,linear_vel,angular_vel,actual_linear_vel,actual_angular_vel
13.71,2.56667,-0.0193662,-0.0296756,0.519261,-0.0095162,2.48389,-0.0455513,0.441049,-0.076572,0.434757,-0.0894699
13.734,2.57193,-0.0195434,-0.0313168,0.514009,-0.00865166,2.4787,-0.0414624,0.436628,-0.0716984,0.441049,-0.076572
13.773,2.59026,-0.0201793,-0.0359416,0.510704,-0.00612335,2.47552,-0.0302633,0.433831,-0.0605419,0.436628,-0.0716984
13.797,2.59947,-0.0205241,-0.0379157,0.516496,-0.004949,2.48136,-0.0255909,0.438629,-0.0569756,0.433831,-0.0605419
13.827,2.61783,-0.0212535,-0.0412139,0.513134,-0.00306919,2.47806,-0.0175966,0.435805,-0.0474808,0.438629,-0.0569756
13.881,2.62827,-0.0216908,-0.0428465,0.517688,-0.00204272,2.48263,-0.0136974,0.439583,-0.0444317,0.435805,-0.0474808
13.902,2.6453,-0.0224342,-0.0449993,0.900306,-0.467246,2.29903,-0.952746,0.111745,-1.62103,0.439583,-0.0444317
13.938,2.65444,-0.0228465,-0.0459767,0.905155,-0.472814,2.29081,-0.950507,0.224338,-1.24722,0.111745,-1.62103
13.962,2.66358,-0.0232678,-0.0469034,0.909992,-0.478414,2.29748,-0.949701,0.207392,-1.30348,0.224338,-1.24722
13.992,2.67759,-0.0239502,-0.0518379,0.884731,-0.467599,2.30304,-0.93981,0.206355,-1.30692,0.207392,-1.30348
14.037,2.68051,-0.024154,-0.0619089,0.886468,-0.458642,2.30946,-0.916546,0.212355,-1.287,0.206355,-1.30692
14.061,2.68822,-0.024988,-0.0996612,0.824836,-0.403905,2.33265,-0.839158,0.228911,-1.23203,0.212355,-1.287
14.091,2.69627,-0.0262238,-0.147603,0.762397,-0.358164,2.373,-0.754285,0.233094,-1.15032,0.228911,-1.23203
14.106,2.70027,-0.0269687,-0.173062,0.710274,-0.319626,2.38736,-0.69359,0.233094,-0.991423,0.233094,-1.15032
14.142,2.70435,-0.0278114,-0.198114,0.656564,-0.284021,2.39983,-0.633546,0,0,0.233094,-0.991423
14.16,2.71318,-0.0299022,-0.24458,0.545001,-0.218989,2.43257,-0.520914,0,0,0,0
14.202,2.71778,-0.0311249,-0.266582,0.54154,-0.161554,2.42533,-0.501345,0,0,0,0
14.235,2.71938,-0.0315801,-0.284143,0.513976,-0.143129,2.44676,-0.455536,0,0,0,0
14.262,2.71975,-0.0317209,-0.287319,0.514033,-0.141466,2.4478,-0.447733,0,0,0,0
14.298,2.71948,-0.0316437,-0.283142,0.513717,-0.143611,2.44618,-0.457953,0,0,0,0
14.34,2.71984,-0.0317467,-0.28315,0.513349,-0.143607,2.44582,-0.457932,0,0,0,0
14.361,2.71896,-0.031488,-0.280469,0.52819,-0.149481,2.4455,-0.464492,0,0,0,0
14.388,2.71948,-0.031637,-0.28006,0.527588,-0.149698,2.44477,-0.465494,0,0,0,0
14.415,2.71843,-0.031336,-0.279759,0.528631,-0.149857,2.44571,-0.466232,0,0,0,0
14.451,2.71822,-0.0312743,-0.27955,0.500211,-0.140947,2.44584,-0.466742,0,0,0,0
14.49,2.71804,-0.0312231,-0.279295,0.514663,-0.145593,2.43123,-0.470451,0,0,0,0
14.52,2.71794,-0.0311941,-0.279169,0.51475,-0.145658,2.43127,-0.470756,0,0,0,0
14.541,2.71792,-0.0311891,-0.279107,0.516785,-0.231625,2.42838,-0.504126,0,0,0,0
14.568,2.71792,-0.0311884,-0.279089,0.516783,-0.231634,2.42838,-0.50417,0,0,0,0
14.601,2.71792,-0.0311879,-0.279077,0.516782,-0.231641,2.42837,-0.504201,0,0,0,0
14.622,2.71792,-0.0311879,-0.279068,0.51678,-0.231645,2.42837,-0.504222,0,0,0,0
14.664,2.71792,-0.0311874,-0.279057,0.523881,-0.24767,2.43661,-0.506298,0,0,0,0
14.691,2.71792,-0.0311874,-0.279054,0.523879,-0.247671,2.43661,-0.506305,0,0,0,0
14.721,2.71792,-0.0311875,-0.279051,0.523878,-0.247673,2.4366,-0.506314,0,0,0,0
14.751,2.71792,-0.0311877,-0.27905,0.523877,-0.247674,2.4366,-0.506317,0,0,0,0
14.784,2.71792,-0.0311876,-0.279048,0.523878,-0.247674,2.4366,-0.50632,0,0,0,0
14.82,2.71792,-0.0311875,-0.279048,0.523878,-0.247675,2.4366,-0.506321,0,0,0,0
14.88,2.71792,-0.0311876,-0.279047,0.523877,-0.247675,2.4366,-0.506322,0,0,0,0
14.919,2.71792,-0.0311877,-0.279047,0.523877,-0.247675,2.4366,-0.506322,0,0,0,0
14.958,2.71792,-0.0311876,-0.279047,0.487482,-0.306018,2.43573,-0.506156,0,0,0,0
14.997,2.71792,-0.0311877,-0.279047,0.487481,-0.306018,2.43573,-0.506156,0,0,0,0
15.048,2.71792,-0.0311875,-0.279047,0.487482,-0.306018,2.43573,-0.506156,0,0,0,0
15.09,2.71792,-0.0311875,-0.279047,0.487482,-0.306018,2.43573,-0.506156,0,0,0,0
15.12,2.71792,-0.0311876,-0.279047,0.487482,-0.306018,2.43573,-0.506156,0,0,0,0
15.147,2.71792,-0.0311874,-0.279047,0.49982,-0.316103,2.43487,-0.511341,0,0,0,0
15.18,2.71792,-0.0311875,-0.279047,0.532931,-0.361675,2.41258,-0.562249,0,0,0,0
15.222,2.71792,-0.0311875,-0.279047,0.545425,-0.370735,2.41213,-0.564817,0,0,0,0
15.252,2.71792,-0.0311876,-0.279047,0.545424,-0.370735,2.41213,-0.564817,0,0,0,0
15.282,2.71792,-0.0311875,-0.279047,0.545425,-0.370735,2.41213,-0.564817,0,0,0,0
15.309,2.71792,-0.0311874,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.33,2.71792,-0.0311877,-0.279047,0.508005,-0.362264,2.42622,-0.550204,0,0,0,0
15.372,2.71792,-0.0311876,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.39,2.71792,-0.0311875,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.42,2.71792,-0.0311876,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.456,2.71792,-0.0311877,-0.279047,0.508005,-0.362264,2.42622,-0.550204,0,0,0,0
15.48,2.71792,-0.0311876,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.51,2.71792,-0.0311875,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.543,2.71792,-0.0311875,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.561,2.71792,-0.0311875,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.582,2.71792,-0.0311876,-0.279047,0.508005,-0.362264,2.42622,-0.550204,0,0,0,0
15.627,2.71792,-0.0311876,-0.279047,0.508006,-0.362264,2.42622,-0.550204,0,0,0,0
15.66,2.71792,-0.0311875,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.687,2.71792,-0.0311876,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.72,2.71792,-0.0311876,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.762,2.71792,-0.0311875,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.765,2.71792,-0.0311874,-0.279047,0.524743,-0.330757,2.41874,-0.542992,0,0,0,0
15.789,2.71792,-0.0311874,-0.279047,0.524743,-0.330757,2.41874,-0.542992,0,0,0,0
15.831,2.71792,-0.0311877,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.867,2.71792,-0.0311877,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.882,2.71792,-0.0311873,-0.279047,0.524743,-0.330757,2.41875,-0.542992,0,0,0,0
15.921,2.71792,-0.0311875,-0.279047,0.524742,-0.330757,2.41874,-0.542992,0,0,0,0
15.957,2.71792,-0.0311876,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
15.981,2.71792,-0.0311876,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
16.02,2.71792,-0.0311874,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
16.062,2.71792,-0.0311875,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
16.101,2.71792,-0.0311876,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
16.122,2.71792,-0.0311875,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
16.14,2.71792,-0.0311871,-0.279047,0.551941,-0.269651,2.4195,-0.543651,0,0,0,0
16.152,2.71792,-0.0311877,-0.279047,0.551939,-0.269651,2.4195,-0.543651,0,0,0,0
16.221,2.71792,-0.0311875,-0.279047,0.55194,-0.269651,2.4195,-0.543651,0,0,0,0
